CLASS,PERCENTAGE
no-mask,72.21578359603882
no-mask,73.55989813804626
no-mask,75.17771124839783
no-mask,73.69956374168396
no-mask,73.14122915267944
no-mask,74.25759434700012
no-mask,73.1489896774292
no-mask,73.30441474914551
no-mask,68.78446936607361
no-mask,63.921451568603516
no-mask,59.912168979644775
no-mask,60.91216802597046
no-mask,58.45057964324951
no-mask,57.75600075721741
no-mask,53.815048933029175
no-mask,64.66059684753418
no-mask,75.99087357521057
no-mask,75.09652376174927
no-mask,76.50004029273987
no-mask,76.96788311004639
no-mask,77.20704078674316
no-mask,76.04966759681702
no-mask,73.89878630638123
no-mask,76.40398740768433
no-mask,77.33531594276428
no-mask,78.33080887794495
no-mask,79.58605289459229
no-mask,79.68878149986267
no-mask,80.82802295684814
no-mask,79.92185354232788
no-mask,81.3379168510437
no-mask,78.54303121566772
no-mask,78.33178043365479
no-mask,74.18569326400757
no-mask,66.93666577339172
no-mask,64.85544443130493
no-mask,65.27186036109924
no-mask,63.331639766693115
no-mask,60.55726408958435
no-mask,53.86616587638855
no-mask,56.775206327438354
no-mask,46.56756520271301
no-mask,46.556222438812256
no-mask,44.14205253124237
no-mask,49.32892620563507
no-mask,55.5253803730011
no-mask,69.94094252586365
no-mask,67.48737692832947
no-mask,71.73078656196594
no-mask,76.16894245147705
no-mask,74.8178780078888
no-mask,75.48108696937561
no-mask,71.92984819412231
no-mask,68.59495043754578
no-mask,66.0308837890625
no-mask,61.99679970741272
no-mask,61.02261543273926
no-mask,64.86395001411438
no-mask,67.00960993766785
no-mask,66.64338111877441
no-mask,71.70118689537048
no-mask,74.10617470741272
no-mask,74.51549768447876
no-mask,80.88776469230652
no-mask,70.13786435127258
no-mask,67.7412748336792
no-mask,66.1206305027008
no-mask,68.38731169700623
no-mask,72.7696180343628
no-mask,87.2536838054657
no-mask,87.3286783695221
no-mask,81.01500868797302
no-mask,83.52741003036499
no-mask,81.85070753097534
no-mask,86.50193214416504
no-mask,84.59306359291077
no-mask,84.12530422210693
no-mask,85.77960133552551
no-mask,90.16598463058472
no-mask,91.03825092315674
no-mask,91.53808355331421
no-mask,91.24366044998169
no-mask,92.04797744750977
no-mask,93.1764543056488
no-mask,95.28293013572693
no-mask,95.02456188201904
no-mask,95.37986516952515
no-mask,95.88066935539246
no-mask,94.83562111854553
no-mask,94.74109411239624
no-mask,93.8018262386322
no-mask,93.81538033485413
no-mask,93.63975524902344
no-mask,93.25894117355347
no-mask,93.3639645576477
no-mask,92.60573387145996
no-mask,91.63222908973694
no-mask,91.53372049331665
no-mask,89.30522799491882
no-mask,90.80575704574585
no-mask,86.37222647666931
no-mask,88.07013630867004
no-mask,88.37178349494934
no-mask,87.83515691757202
no-mask,87.31558918952942
no-mask,87.60318160057068
no-mask,88.59578967094421
no-mask,86.01555824279785
no-mask,76.50203108787537
no-mask,77.79540419578552
no-mask,71.15947604179382
no-mask,68.01379323005676
no-mask,68.08287501335144
no-mask,65.2184784412384
no-mask,62.6140296459198
no-mask,55.221593379974365
no-mask,46.70221209526062
no-mask,44.05654966831207
no-mask,50.83339214324951
no-mask,45.23737132549286
no-mask,46.8220055103302
no-mask,59.17201042175293
no-mask,58.791232109069824
no-mask,61.55386567115784
no-mask,65.33351540565491
no-mask,68.13872456550598
no-mask,77.0354688167572
no-mask,78.09580564498901
no-mask,70.24374008178711
with-mask,43.070048093795776
with-mask,45.5645352602005
with-mask,64.08480405807495
no-mask,55.60852289199829
with-mask,71.46022915840149
no-mask,41.14267826080322
with-mask,71.8542993068695
no-mask,42.64732599258423
with-mask,76.09393000602722
no-mask,45.45375108718872
with-mask,75.82008838653564
no-mask,44.913360476493835
with-mask,71.63113355636597
no-mask,51.302480697631836
with-mask,71.21590971946716
no-mask,46.13842070102692
with-mask,72.69946336746216
no-mask,49.09662902355194
with-mask,73.25635552406311
no-mask,48.38344156742096
with-mask,75.42978525161743
no-mask,46.398478746414185
with-mask,75.25436282157898
no-mask,45.803600549697876
with-mask,77.26401686668396
no-mask,44.217315316200256
with-mask,78.42243909835815
no-mask,42.46732294559479
with-mask,78.09047102928162
no-mask,46.737655997276306
with-mask,79.25061583518982
no-mask,43.99721324443817
with-mask,79.62124943733215
no-mask,43.69540810585022
with-mask,80.31312823295593
no-mask,36.504027247428894
with-mask,75.86495280265808
no-mask,36.38668358325958
with-mask,75.41273832321167
no-mask,31.59414827823639
with-mask,78.78704071044922
no-mask,32.66728222370148
with-mask,82.17027187347412
with-mask,59.450411796569824
no-mask,97.23020195960999
no-mask,98.2742428779602
no-mask,98.77581596374512
no-mask,98.80228638648987
no-mask,98.77321720123291
no-mask,98.67520332336426
no-mask,98.36658239364624
no-mask,98.32496643066406
no-mask,98.30678701400757
no-mask,98.15884232521057
